MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,target,timestamp
8.33,41.0,6.98,1.02,322.0,2.56,37.88,-122.23,4526.0,2025-08-10T20:55:21.792896
7.25,35.0,5.85,0.98,285.0,2.12,36.75,-121.48,3890.0,2025-08-10T20:55:21.792902
8.33,41.0,6.98,1.02,322.0,2.56,37.88,-122.23,4526.0,2025-08-10T21:59:31.701814
8.33,41.0,6.98,1.02,322.0,2.56,37.88,-122.23,4526.0,2025-08-10T16:37:28.042062
8.33,41.0,6.98,1.02,322.0,2.56,37.88,-122.23,4526.0,2025-08-10T16:40:01.364300
8.33,41.0,6.98,1.02,322.0,2.56,37.88,-122.23,4526.0,2025-08-10T16:40:07.738177
8.33,41.0,6.98,1.02,322.0,2.56,37.88,-122.23,4526.0,2025-08-10T16:40:08.319640
8.33,41.0,6.98,1.02,322.0,2.56,37.88,-122.23,4526.0,2025-08-10T16:40:18.435716
7.25,35.0,5.85,0.98,285.0,2.12,36.75,-121.48,3890.0,2025-08-10T16:40:18.435727
8.33,41.0,6.98,1.02,322.0,2.56,37.88,-122.23,4526.0,2025-08-10T16:40:19.418715
7.25,35.0,5.85,0.98,285.0,2.12,36.75,-121.48,3890.0,2025-08-10T16:40:19.418728
8.33,41.0,6.98,1.02,322.0,2.56,37.88,-122.23,4526.0,2025-08-10T16:41:45.856869
7.25,35.0,5.85,0.98,285.0,2.12,36.75,-121.48,3890.0,2025-08-10T16:41:45.856878
8.33,41.0,6.98,1.02,322.0,2.56,37.88,-122.23,4526.0,2025-08-10T16:41:46.625087
7.25,35.0,5.85,0.98,285.0,2.12,36.75,-121.48,3890.0,2025-08-10T16:41:46.625093
8.33,41.0,6.98,1.02,322.0,2.56,37.88,-122.23,4526.0,2025-08-10T16:41:47.369172
7.25,35.0,5.85,0.98,285.0,2.12,36.75,-121.48,3890.0,2025-08-10T16:41:47.369179
8.33,41.0,6.98,1.02,322.0,2.56,37.88,-122.23,4526.0,2025-08-10T16:41:47.996435
7.25,35.0,5.85,0.98,285.0,2.12,36.75,-121.48,3890.0,2025-08-10T16:41:47.996441
8.33,41.0,6.98,1.02,322.0,2.56,37.88,-122.23,4526.0,2025-08-10T16:41:48.902447
7.25,35.0,5.85,0.98,285.0,2.12,36.75,-121.48,3890.0,2025-08-10T16:41:48.902455
8.33,41.0,6.98,1.02,322.0,2.56,37.88,-122.23,4526.0,2025-08-10T16:41:49.641785
7.25,35.0,5.85,0.98,285.0,2.12,36.75,-121.48,3890.0,2025-08-10T16:41:49.641793
8.33,41.0,6.98,1.02,322.0,2.56,37.88,-122.23,4526.0,2025-08-10T16:41:50.147547
